NES,SNES,GB/A,GEN,N64,PS1/2,GCN,PS3,WII/U,SWITCH,PC,ETC
Adventure of Link,AAAAHHHH Real Monsters,Alleyway,Aladdin,Banjo-Tooie,Beyond the Beyond,MegaMan Collection,Bust-A-Move 4,Adventure of Link,Pac-Man 99,1979 Revolution: Black Friday,Krita
B&T's Excellent Adventure,Actraiser 2,Atari Classics,Chuck Rock,Donkey Kong 64,Castlevania: Symphony of the Night,Smash Bros Melee,Castlevania: Lords of Shadow,Kirby's Dream Collection,Pokemon Mystery Dungeon DX,7 Days to Die,Wings3D
Baseball Sim 1.000,BASTARD,Bomberman GB,Greendog,F-Zero X,Final Fantasy IX,Viewtiful Joe,Castlevania: SotN,Mario Kart 8,Super Mario 3D All Stars,Apotheon,FL Studio
Blades of Steel,Donkey Kong Country 1,Super Dodge Ball,Sonic Spinball,Goldeneye,Final Fantasy Tactics,,Command & Conquer,Paper Mario,Super Mario Maker 2,Arma III,Paint.net
Dick Tracey,Donkey Kong Country 2,Dr Mario,Sonic the Hedgehog 2,Hey You Pikachu,Mortal Kombat Mythologies,,Contra: Shattered Soldier,Pikmen 3,Tetris 99,Banished,Tahoma
Double Dragon ,Donkey Kong Country 3,Final Fantasy 5,Street Fighter II,Legend of Zelda: Majora's Mask,The Legend of Dragoon,,Crash Bandicoot ,Smash Bros Wii U,,Besiege,QGIS
Gauntlet,Dragon Quest VI,Final Fantasy 6,X-MEN,Legend of Zelda: Ocarina of Time,Chrono Cross,,Crash Bandicoot 2,SMBSSS,,Bully,Natron
Castlevania III,Earthworm Jim,Final Fantasy Legend II,,Mario Party 2,Katamari Damacy,,Devil May Cry HD Collection,SMG,,Caste Crashers,GIMP
Harambe's Revenge,F-Zero,Game & Watch Gallery 3,,Mario Tennis,,,Diablo 3,Splatoon,,Cities: Skylines,Blender
Ice Hockey,Final Fantasy II,KoF EX: Neo Blood,,Perfect Dark,,,Dragon's Dogma,Super Mario Maker,,Civ V,Crocotile 3D
Jeopardy,Final Fantasy Mystic Quest,MB Board Games,,Pokemon Snap,,,Front Mission 3,Super Metroid,,Civ VI,Inkscape
